,AUTHOR_ID,PAPER_ID,notes
0,3110179,3bee5cc2d0b6bfcd564158cd0cf1bd311dae68b7,World artist leader their last receive. Collection nothing order cost majority.
1,49236095,3bee5cc2d0b6bfcd564158cd0cf1bd311dae68b7,Forget class bag. There true audience parent ago drive name.
2,2087257,3bee5cc2d0b6bfcd564158cd0cf1bd311dae68b7,Help water building material. Machine opportunity thing court chance pattern member.
3,2673957,0e5bccdedb82fbafece8ca71d64b16ff05ec9145,Significant name think water effect. Throw morning your.
4,49527646,0e5bccdedb82fbafece8ca71d64b16ff05ec9145,Better service across read reason sister pay.
5,103021875,0e5bccdedb82fbafece8ca71d64b16ff05ec9145,Seat remain peace analysis.
6,2072057031,c9c73f5a1668b8bf12aae2efb6ac5a5a2c34002a,Be build although seem.
7,114113853,c9c73f5a1668b8bf12aae2efb6ac5a5a2c34002a,May we partner yet site. Best peace myself identify better five society better.
8,46855299,c9c73f5a1668b8bf12aae2efb6ac5a5a2c34002a,Center meeting per level figure until.
9,73572953,e507a66243223b83c50ec8609c8e2db5a99277a7,Despite sound trip interest center evidence. Program future local fine argue ahead page.
10,2167765,e507a66243223b83c50ec8609c8e2db5a99277a7,Lawyer hotel politics. Billion join first floor sing involve society.
11,2781539,e507a66243223b83c50ec8609c8e2db5a99277a7,Group wind eye whether not. Food and vote health thank wish day.
12,2099295,954f2a7b1c6f28c4a845ccda5761eb09da032a64,Factor activity condition particular return half movement nice. Stand very work.
13,39329577,954f2a7b1c6f28c4a845ccda5761eb09da032a64,Smile west reflect Republican author.
14,39468510,954f2a7b1c6f28c4a845ccda5761eb09da032a64,Near course group. Put fund laugh discuss room reduce.
15,1894221,726cb75a8a10b915f463cb45a6dbaf266eabf7b4,Positive nice continue age control.
16,143697908,726cb75a8a10b915f463cb45a6dbaf266eabf7b4,Until federal up point argue religious black. Civil point head school.
17,2142656911,726cb75a8a10b915f463cb45a6dbaf266eabf7b4,Each audience reach step. Difficult official pass face community above control.
18,2007204652,ca5e7580993170b1fe621bc16383ad2dfa6803b5,Beat score create.
19,2247699813,ca5e7580993170b1fe621bc16383ad2dfa6803b5,Your after young word until.
20,30260140,ca5e7580993170b1fe621bc16383ad2dfa6803b5,Author wait key take argue.
21,7737288,70a86a524917db7b6122b6f5e2f45661dca1b8c9,Cold like catch anyone bit then new.
22,2093917079,70a86a524917db7b6122b6f5e2f45661dca1b8c9,Court sign open whether.
23,114167875,70a86a524917db7b6122b6f5e2f45661dca1b8c9,Story after almost above PM administration modern occur.
24,21353595,8d082fcbfb3dd56d52faabe7903f3b0734b1f613,Myself once maybe exactly myself then member. Quality machine authority create.
25,35151586,8d082fcbfb3dd56d52faabe7903f3b0734b1f613,Several receive success smile yeah difference art.
26,4816296,8d082fcbfb3dd56d52faabe7903f3b0734b1f613,They it fall minute.
27,2286232238,06a81f63fc4ccfcf02934647a7c17454b91853b0,Feel position sport woman again create avoid. Hour environment although mission make.
28,2202045321,06a81f63fc4ccfcf02934647a7c17454b91853b0,After son already history. Whatever event girl report key hand.
29,144060663,06a81f63fc4ccfcf02934647a7c17454b91853b0,With outside weight speech care. Onto think yourself step around yet.
